,id,t3,t4,t5,t6,first_hydrophone,second_hydrophone,relative_depth,depth,picking_method,dt,dt_pick_method,max_amp,origin_time
124,124,18107.94992310184,18107.94992289351,18107.949922650456,18107.949923622677,3,4,50.75,220.75,3,0.018,0,5.3590472171499375,2019-07-30T22:47:53.326999Z
125,125,18107.949929606468,18107.949925752302,18107.94992956017,18107.949928402766,3,4,70.0,240.0,3,0.04,1,1.8705788229482219,2019-07-30T22:47:53.877999Z
126,126,18107.950426585638,18107.95042650462,18107.950426134248,18107.950427268508,3,4,41.125,211.125,3,0.007,0,1.0442510518860995,2019-07-30T22:48:36.833499Z
127,127,18107.95042809027,18107.950428530083,18107.950426921285,18107.950427060176,3,4,1.75,171.75,3,-0.038,0,1.0442510518860995,2019-07-30T22:48:36.985999Z
128,128,18107.950482523138,18107.95048244212,18107.950482071752,18107.950483009252,3,4,41.125,211.125,3,0.007,0,9.242660548565556,2019-07-30T22:48:41.666499Z
129,129,18107.950488483784,18107.950488402766,18107.95048853008,18107.9504829861,3,4,41.125,211.125,3,0.007,0,4.993580547752528,2019-07-30T22:48:42.181499Z
130,130,18107.95048848378,18107.950488402763,18107.950486168967,18107.950488981467,3,4,41.125,211.125,3,0.007,0,3.1632793739838356,2019-07-30T22:48:42.181499Z
131,131,18107.950495532397,18107.950495474524,18107.950495532397,18107.9504954861,3,4,39.375,209.375,3,0.005,0,3.1632793739838356,2019-07-30T22:48:42.791499Z
132,132,18107.95053443286,18107.950534363415,18107.95053398147,18107.950533530082,3,4,40.25,210.25,3,0.006,0,2.431922059934497,2019-07-30T22:48:46.151999Z
133,133,18107.95054040508,18107.95054040508,18107.95054040508,18107.950534884247,3,4,35.0,205.0,3,0.0,0,2.431922059934497,2019-07-30T22:48:46.670999Z
134,134,18107.95057562499,18107.95057556712,18107.9505751736,18107.950576134248,3,4,39.375,209.375,3,0.005,0,6.563984890499631,2019-07-30T22:48:49.711499Z
135,135,18107.95058171295,18107.95058171295,18107.95058171295,18107.950576076375,3,4,35.0,205.0,3,0.0,0,6.563984890499631,2019-07-30T22:48:50.239999Z
136,136,18107.950617407394,18107.950617337952,18107.95061693286,18107.95061787036,3,4,40.25,210.25,3,0.006,0,6.632668881732092,2019-07-30T22:48:53.320999Z
137,137,18107.950939166654,18107.950939247676,18107.95093874999,18107.95093965277,3,4,28.875,198.875,3,-0.007,0,2.8105319622220675,2019-07-30T22:49:21.127499Z
138,138,18107.951088715265,18107.951088796282,18107.95109179397,18107.95109179397,3,4,28.875,198.875,3,-0.007,0,1.6611350472146722,2019-07-30T22:49:34.048499Z
139,139,18107.951219166654,18107.95121927082,18107.951218819435,18107.951219652765,3,4,27.125,197.125,3,-0.009,0,5.496415199614857,2019-07-30T22:49:45.320499Z
140,140,18107.951293113416,18107.951293229155,18107.95129277777,18107.951293587954,3,4,26.25,196.25,3,-0.01,0,15.690476219326337,2019-07-30T22:49:51.709999Z
141,141,18107.951394768508,18107.951394930544,18107.951394467582,18107.95139528934,3,4,22.75,192.75,3,-0.014,0,6.277801593697715,2019-07-30T22:50:00.494999Z
