,h3_h3_dt,h3_h3_depth,id,h3_h4_dt,h3_h4_depth,h3_h5_dt,h3_h5_depth,h3_h6_dt,h3_h6_depth,h4_h3_dt,h4_h3_depth,h4_h4_dt,h4_h4_depth,h4_h5_dt,h4_h5_depth,h4_h6_dt,h4_h6_depth,h5_h3_dt,h5_h3_depth,h5_h4_dt,h5_h4_depth,h5_h5_dt,h5_h5_depth,h5_h6_dt,h5_h6_depth,h6_h3_dt,h6_h3_depth,h6_h4_dt,h6_h4_depth,h6_h5_dt,h6_h5_depth,h6_h6_dt,h6_h6_depth
36,0.0,,36,-0.04000000000000001,170.0,-0.07900000000000001,135.875,0.0,205.0,0.04000000000000001,240.0,0.0,,-0.03900000000000001,240.875,0.04000000000000001,310.0,0.07900000000000001,275.875,0.03900000000000001,310.875,0.0,,0.07900000000000001,414.125,0.0,415.0,-0.04000000000000001,450.0,-0.07900000000000001,484.125,0.0,
37,0.0,,37,-0.028000000000000004,180.5,-0.06899999999999999,144.625,-0.13699999999999998,85.12500000000001,0.028000000000000004,250.5,0.0,,-0.040999999999999995,239.125,-0.10899999999999999,179.625,0.06899999999999999,284.625,0.040999999999999995,309.125,0.0,,-0.06799999999999999,285.5,0.13699999999999998,295.125,0.10899999999999999,319.625,0.06799999999999999,355.5,0.0,
38,0.0,,38,-0.146,77.25000000000001,-0.09699999999999999,120.12500000000001,-0.026,182.25,0.146,147.25,0.0,,0.049,317.875,0.12,380.0,0.09699999999999999,260.125,-0.049,387.875,0.0,,0.071,407.125,0.026,392.25,-0.12,520.0,-0.071,477.125,0.0,
39,0.0,,39,-0.0010000000000000009,204.125,0.05000000000000002,248.75,0.0020000000000000018,206.75,0.0010000000000000009,274.125,0.0,,0.05100000000000002,319.625,0.0030000000000000027,277.625,-0.05000000000000002,388.75,-0.05100000000000002,389.625,0.0,,-0.048000000000000015,303.0,-0.0020000000000000018,416.75,-0.0030000000000000027,417.625,0.048000000000000015,373.0,0.0,
40,0.0,,40,-0.03899999999999999,170.875,-0.099,118.375,0.0020000000000000018,206.75,0.03899999999999999,240.875,0.0,,-0.06000000000000001,222.5,0.040999999999999995,310.875,0.099,258.375,0.06000000000000001,292.5,0.0,,0.101,433.375,-0.0020000000000000018,416.75,-0.040999999999999995,450.875,-0.101,503.375,0.0,
41,0.0,,41,0.0,205.0,0.0010000000000000009,205.875,0.132,320.5,0.0,275.0,0.0,,0.0010000000000000009,275.875,0.132,390.5,-0.0010000000000000009,345.875,-0.0010000000000000009,345.875,0.0,,0.131,459.625,-0.132,530.5,-0.132,530.5,-0.131,529.625,0.0,
42,0.0,,42,0.161,345.875,0.197,377.375,0.0010000000000000009,205.875,-0.161,415.875,0.0,,0.036,306.5,-0.16,135.0,-0.197,517.375,-0.036,376.5,0.0,,-0.196,173.5,-0.0010000000000000009,415.875,0.16,275.0,0.196,243.5,0.0,
43,0.0,,43,0.10800000000000001,299.5,0.059,256.625,0.01100000000000001,214.625,-0.10800000000000001,369.5,0.0,,-0.049000000000000016,232.125,-0.097,190.125,-0.059,396.625,0.049000000000000016,302.125,0.0,,-0.04799999999999999,303.0,-0.01100000000000001,424.625,0.097,330.125,0.04799999999999999,373.0,0.0,
44,0.0,,44,-0.04000000000000001,170.0,-0.07900000000000001,135.875,0.015,218.125,0.04000000000000001,240.0,0.0,,-0.03900000000000001,240.875,0.05500000000000001,323.125,0.07900000000000001,275.875,0.03900000000000001,310.875,0.0,,0.09400000000000001,427.25,-0.015,428.125,-0.05500000000000001,463.125,-0.09400000000000001,497.25,0.0,
45,0.0,,45,-0.038,171.75,-0.07900000000000001,135.875,-0.147,76.375,0.038,241.75,0.0,,-0.04100000000000001,239.125,-0.109,179.625,0.07900000000000001,275.875,0.04100000000000001,309.125,0.0,,-0.06799999999999999,285.5,0.147,286.375,0.109,319.625,0.06799999999999999,355.5,0.0,
46,0.0,,46,0.0,205.0,0.0020000000000000018,206.75,0.197,377.375,0.0,275.0,0.0,,0.0020000000000000018,276.75,0.197,447.375,-0.0020000000000000018,346.75,-0.0020000000000000018,346.75,0.0,,0.195,515.625,-0.197,587.375,-0.197,587.375,-0.195,585.625,0.0,
47,0.0,,47,0.159,344.125,0.141,328.375,0.01899999999999999,221.625,-0.159,414.125,0.0,,-0.018000000000000002,259.25,-0.14,152.5,-0.141,468.375,0.018000000000000002,329.25,0.0,,-0.122,238.25,-0.01899999999999999,431.625,0.14,292.5,0.122,308.25,0.0,
48,0.0,,48,-0.04000000000000001,170.0,-0.08099999999999999,134.125,0.019000000000000003,221.625,0.04000000000000001,240.0,0.0,,-0.04099999999999998,239.125,0.05900000000000001,326.625,0.08099999999999999,274.125,0.04099999999999998,309.125,0.0,,0.09999999999999999,432.5,-0.019000000000000003,431.625,-0.05900000000000001,466.625,-0.09999999999999999,502.5,0.0,
49,0.0,,49,0.0,205.0,0.15100000000000002,337.125,0.083,277.625,0.0,275.0,0.0,,0.15100000000000002,407.125,0.083,347.625,-0.15100000000000002,477.125,-0.15100000000000002,477.125,0.0,,-0.068,285.5,-0.083,487.625,-0.083,487.625,0.068,355.5,0.0,
50,0.0,,50,0.0,205.0,0.0040000000000000036,208.5,0.0010000000000000009,205.875,0.0,275.0,0.0,,0.0040000000000000036,278.5,0.0010000000000000009,275.875,-0.0040000000000000036,348.5,-0.0040000000000000036,348.5,0.0,,-0.0030000000000000027,342.375,-0.0010000000000000009,415.875,-0.0010000000000000009,415.875,0.0030000000000000027,412.375,0.0,
51,0.0,,51,0.0,205.0,0.0030000000000000027,207.625,0.197,377.375,0.0,275.0,0.0,,0.0030000000000000027,277.625,0.197,447.375,-0.0030000000000000027,347.625,-0.0030000000000000027,347.625,0.0,,0.194,514.75,-0.197,587.375,-0.197,587.375,-0.194,584.75,0.0,
52,0.0,,52,0.0,205.0,0.0,205.0,0.0030000000000000027,207.625,0.0,275.0,0.0,,0.0,275.0,0.0030000000000000027,277.625,0.0,345.0,0.0,345.0,0.0,,0.0030000000000000027,347.625,-0.0030000000000000027,417.625,-0.0030000000000000027,417.625,-0.0030000000000000027,417.625,0.0,
53,0.0,,53,0.0,205.0,0.192,373.0,0.0,205.0,0.0,275.0,0.0,,0.192,443.0,0.0,275.0,-0.192,513.0,-0.192,513.0,0.0,,-0.192,177.0,0.0,415.0,0.0,415.0,0.192,247.0,0.0,
54,0.0,,54,-0.03499999999999999,174.375,-0.074,140.25,0.0,205.0,0.03499999999999999,244.375,0.0,,-0.03900000000000001,240.875,0.03499999999999999,305.625,0.074,280.25,0.03900000000000001,310.875,0.0,,0.074,409.75,0.0,415.0,-0.03499999999999999,445.625,-0.074,479.75,0.0,
55,0.0,,55,0.002,206.75,-0.195,34.375,-0.195,34.375,-0.002,276.75,0.0,,-0.197,102.625,-0.197,102.625,0.195,174.375,0.197,172.625,0.0,,0.0,345.0,0.195,244.375,0.197,242.625,0.0,415.0,0.0,
56,0.0,,56,-0.0010000000000000009,204.125,0.192,373.0,-0.0010000000000000009,204.125,0.0010000000000000009,274.125,0.0,,0.193,443.875,0.0,275.0,-0.192,513.0,-0.193,513.875,0.0,,-0.193,176.125,0.0010000000000000009,414.125,0.0,415.0,0.193,246.125,0.0,
57,0.0,,57,0.0,205.0,0.15400000000000003,339.75,0.07700000000000001,272.375,0.0,275.0,0.0,,0.15400000000000003,409.75,0.07700000000000001,342.375,-0.15400000000000003,479.75,-0.15400000000000003,479.75,0.0,,-0.077,277.625,-0.07700000000000001,482.375,-0.07700000000000001,482.375,0.077,347.625,0.0,
58,0.0,,58,-0.033,176.125,-0.07200000000000001,142.0,0.077,272.375,0.033,246.125,0.0,,-0.03900000000000001,240.875,0.11,371.25,0.07200000000000001,282.0,0.03900000000000001,310.875,0.0,,0.14900000000000002,475.375,-0.077,482.375,-0.11,511.25,-0.14900000000000002,545.375,0.0,
59,0.0,,59,-0.030999999999999996,177.875,-0.072,142.0,-0.114,105.25,0.030999999999999996,247.875,0.0,,-0.041,239.125,-0.08300000000000002,202.375,0.072,282.0,0.041,309.125,0.0,,-0.04200000000000001,308.25,0.114,315.25,0.08300000000000002,342.375,0.04200000000000001,378.25,0.0,
60,0.0,,60,0.166,350.25,-0.0010000000000000009,204.125,0.15500000000000003,340.625,-0.166,420.25,0.0,,-0.167,128.875,-0.010999999999999996,265.375,0.0010000000000000009,344.125,0.167,198.875,0.0,,0.15600000000000003,481.5,-0.15500000000000003,550.625,0.010999999999999996,405.375,-0.15600000000000003,551.5,0.0,
61,0.0,,61,0.195,375.625,0.019000000000000017,221.625,0.09000000000000001,283.75,-0.195,445.625,0.0,,-0.176,121.0,-0.105,183.125,-0.019000000000000017,361.625,0.176,191.0,0.0,,0.071,407.125,-0.09000000000000001,493.75,0.105,323.125,-0.071,477.125,0.0,
