arrival_hydrophone,init_arrival_time
h5,18093.93468986111
h5,18093.934692361112
h5,18093.93504466435
h5,18093.935051481483
h5,18093.935193865742
h5,18093.935199872685
h5,18093.93520394676
h5,18093.93521042824
h5,18093.935214247686
h5,18093.935221354168
h5,18093.935297372685
h5,18093.935483425925
h5,18093.935504675926
h5,18093.93589445602
h5,18093.93612486111
h5,18093.936127824076
h5,18093.93612945602
h5,18093.936131643517
h5,18093.93613310185
h5,18093.93613613426
h5,18093.93616258102
h5,18093.936473564816
h5,18093.936477777777
h5,18093.936478680556
h5,18093.936482604167
h5,18093.937267719906
h5,18093.93770665509
h5,18093.937745532407
h5,18093.93815019676
h5,18093.939443229166
h5,18093.93971162037
h5,18093.93972199074
h5,18093.939748217592
h5,18093.93975027778
h5,18093.940987268517
h5,18093.958043449074
h5,18093.96040583333
h5,18093.9628175
h5,18093.962830462962
h5,18093.962953854167
h5,18093.963116828705
h5,18093.96314792824
h5,18093.96390547454
h5,18093.96391759259
h5,18093.964248564815
h5,18093.964262245372
h5,18093.96429789352
h5,18093.964326516205
h5,18093.964342314815
h5,18093.964383657407
h5,18093.964436099537
h5,18093.96565931713
h5,18093.965687662036
h5,18093.966733078705
h5,18093.966737627314
h5,18093.96674300926
h5,18093.966776967594
h5,18093.966783506945
h5,18093.96679505787
h5,18093.966800023147
h5,18093.966857361112
h5,18093.9668609375
h5,18093.96686449074
h5,18093.966868796295
h5,18093.966875613427
h5,18093.966877650462
h5,18093.966883333334
h5,18093.967030520835
h5,18093.967035428243
h5,18093.967046319445
h5,18093.967048472223
h5,18093.967049340277
h5,18093.96707152778
h5,18093.96707892361
h5,18093.96708202546
h5,18093.967089537036
h5,18093.967093483796
h5,18093.96709539352
h5,18093.967114409723
h5,18093.967828356483
h5,18093.967835289353
h5,18093.96784167824
h5,18093.96784607639
h5,18093.96785113426
h5,18093.967855729166
h5,18093.968248587964
h5,18093.968253425926
h5,18093.96839238426
h5,18093.968395300926
h5,18093.96840008102
h5,18093.968404178242
h5,18093.968411585647
h5,18093.968414386574
h5,18093.968418969907
h5,18093.96842363426
h5,18093.968435555555
h5,18093.968465289352
h5,18093.968964861113
h5,18093.968969699075
h5,18093.96897966435
h5,18093.968983692128
h5,18093.968988553243
h5,18093.968999537035
h5,18093.969015729166
h5,18093.96901929398
h5,18093.969163287038
h5,18093.969794976852
h5,18093.969806342593
h5,18093.96981056713
h5,18093.96981321759
h5,18093.969945173612
h5,18093.97052357639
h5,18093.970527245372
h5,18093.970555532407
h5,18093.97056556713
h5,18093.97056962963
h5,18093.970573657407
h5,18093.970578078704
h5,18093.970585578703
h5,18093.970592523146
h5,18093.970596296298
h5,18093.970608935186
h5,18093.970612060184
h5,18093.970613090278
h5,18093.970616979168
h5,18093.970631967593
h5,18093.97063792824
h5,18093.970646689813
h5,18093.97065224537
h5,18093.97065644676
h5,18093.970658206017
h5,18093.97066320602
h5,18093.97066832176
h5,18093.970676793982
h5,18093.970681226852
h5,18093.97068638889
h5,18093.970687743054
h5,18093.970690960647
h5,18093.97069784722
h5,18093.970700671296
h5,18093.97070712963
h5,18093.970710810187
h5,18093.970714166666
h5,18093.970716180556
h5,18093.971004282408
h5,18093.97101255787
h5,18093.97101497685
h5,18093.971038472224
h5,18093.971042627316
h5,18093.971182662037
h5,18093.97118601852
h5,18093.971190925928
h5,18093.971194525464
h5,18093.971199618056
h5,18093.971204340276
h5,18093.971208981482
h5,18093.97121135417
h5,18093.971221909724
h5,18093.971239305556
h5,18093.97164071759
h5,18093.971645405094
h5,18093.972299895835
h5,18093.972312453705
h5,18093.97310203704
h5,18093.973106574074
h5,18093.97310917824
h5,18093.973333865742
h5,18093.97334142361
h5,18093.97334767361
h5,18093.97334866898
h5,18093.973352256944
h5,18093.973359583335
h5,18093.973360555556
h5,18093.97336346065
h5,18093.973368819443
h5,18093.97337175926
h5,18093.973378819446
h5,18093.975844780092
h5,18093.97584869213
h5,18093.97585230324
h5,18093.975853194446
h5,18093.97585622685
h5,18093.975863842592
h5,18093.975865300927
h5,18093.976160972223
h5,18093.97616428241
h5,18093.976167256944
h5,18093.97616820602
h5,18093.976176736112
h5,18093.976192083333
h5,18093.97643230324
h5,18093.97643684028
h5,18093.976452685187
h5,18093.97645640046
h5,18093.976469166668
h5,18093.97647349537
h5,18093.976480949073
h5,18093.976487094907
h5,18093.976491331017
h5,18093.976493726852
h5,18093.976496921296
h5,18093.97649960648
h5,18093.97650746528
h5,18093.976535497684
h5,18093.976538761573
h5,18093.976544965277
h5,18093.97654599537
h5,18093.98003400463
h5,18093.980067766202
h5,18093.980078611112
h5,18093.980083171296
h5,18093.980110532408
h5,18093.98011755787
h5,18093.980121550925
h5,18093.98013253472
h5,18093.980304618057
h5,18093.98031185185
h5,18093.980363449075
h5,18093.980748113427
h5,18093.9808075
h5,18093.982751770833
h5,18093.982765208333
h5,18093.982767766203
h5,18093.985669340276
h5,18093.98576085648
h5,18093.98581409722
h5,18093.98582050926
h5,18093.98585009259
h5,18093.98588773148
h5,18093.98592109954
h5,18093.98592554398
h5,18093.986418819444
h5,18093.9864296875
h5,18093.98643326389
h5,18093.98644542824
h5,18093.986455011574
h5,18093.986470520835
h5,18093.986841805556
h5,18093.98684474537
h5,18093.98684829861
h5,18093.986872881946
h5,18093.98687861111
h5,18093.98688605324
h5,18093.986891516204
h5,18093.986901504628
h5,18093.98698542824
h5,18093.987004363426
h5,18093.987021712965
h5,18093.987032488425
h5,18093.987034803242
h5,18093.987041030094
h5,18093.99314810185
h6,18093.930994421284
h6,18093.93099696758
h6,18093.9340211111
h6,18093.935051979155
h6,18093.935297824064
h6,18093.936125219898
h6,18093.936136481472
h6,18093.937706782395
h6,18093.93774565971
h6,18093.93815028934
h6,18093.93944313656
h6,18093.939711469895
h6,18093.939718564805
h6,18093.939721886563
h6,18093.939723009247
h6,18093.939731643506
h6,18093.939748113415
h6,18093.939750150454
h6,18093.940987268506
h6,18093.970612546287
h6,18093.97336005786
h6,18093.97616122684
h6,18093.976487395823
h6,18093.98007864582
h6,18093.980083229155
h6,18093.980102858786
h6,18093.980117488416
h6,18093.980121574063
h6,18093.98013252314
h6,18093.980311863415
h6,18093.980363414343
h6,18093.980748055546
h6,18093.98080747684
h6,18093.98273278934
h6,18093.982741041655
h6,18093.98275162036
h6,18093.98275681712
h6,18093.982765208322
h6,18093.982767766192
h6,18093.982791805545
h6,18093.982795185173
h6,18093.983831921287
h6,18093.983840347213
h6,18093.983883171284
h6,18093.98418662036
h6,18093.984203530083
h6,18093.98565749999
h6,18093.98566202545
h6,18093.985665046286
h6,18093.985669027767
h6,18093.985751921286
h6,18093.985760474527
h6,18093.985774363417
h6,18093.98577855323
h6,18093.985781689804
h6,18093.985785358786
h6,18093.985788888876
h6,18093.98579800925
h6,18093.98580171295
h6,18093.985805023138
h6,18093.9858136111
h6,18093.98582009258
h6,18093.985825185173
h6,18093.985829872676
h6,18093.985833483785
h6,18093.985837708322
h6,18093.985842604157
h6,18093.985849675915
h6,18093.985851666657
h6,18093.985854108785
h6,18093.98585819443
h6,18093.985861724526
h6,18093.985869155083
h6,18093.985873657395
h6,18093.9858767361
h6,18093.98588020832
h6,18093.985882696747
h6,18093.98588722221
h6,18093.985891319433
h6,18093.985902916655
h6,18093.985906724527
h6,18093.985909791656
h6,18093.985913287026
h6,18093.985920671286
h6,18093.98592511573
h6,18093.985930104154
h6,18093.98593159721
h6,18093.985936319434
h6,18093.985941666655
h6,18093.985954143507
h6,18093.985961203693
h6,18093.985967037028
h6,18093.986044930545
h6,18093.986052893506
h6,18093.986056157395
h6,18093.986076770823
h6,18093.986418483786
h6,18093.986422499987
h6,18093.986424513878
h6,18093.986429189805
h6,18093.986432939804
