depth,origin_time,swarm_number
268.0,2019-05-21T08:07:00.030000Z,1
268.0,2019-05-21T08:07:05.464000Z,1
268.875,2019-05-21T08:07:05.884500Z,1
273.25,2019-05-21T08:07:06.691000Z,1
268.875,2019-05-21T08:07:07.173500Z,1
268.875,2019-05-21T08:07:07.537500Z,1
268.875,2019-05-21T08:07:08.018500Z,1
268.875,2019-05-21T08:07:10.390500Z,1
268.875,2019-05-21T08:07:11.431500Z,1
271.5,2019-05-21T08:07:11.706000Z,1
268.875,2019-05-21T08:07:12.152500Z,1
268.875,2019-05-21T08:07:12.831500Z,1
268.875,2019-05-21T08:07:13.752500Z,1
268.875,2019-05-21T08:07:14.142500Z,1
268.875,2019-05-21T08:07:15.548500Z,1
265.375,2019-05-21T08:07:16.261500Z,1
268.875,2019-05-21T08:07:16.951500Z,1
269.75,2019-05-21T08:07:17.526000Z,1
267.125,2019-05-21T08:07:19.893500Z,1
269.75,2019-05-21T08:07:20.465000Z,1
267.125,2019-05-21T08:07:21.354500Z,1
270.625,2019-05-21T08:07:32.456500Z,1
269.75,2019-05-21T08:07:33.785000Z,1
269.75,2019-05-21T08:07:35.688000Z,1
268.0,2019-05-21T08:08:04.538000Z,1
271.5,2019-05-21T08:08:07.371000Z,1
272.375,2019-05-21T08:08:08.128500Z,1
272.375,2019-05-21T08:08:09.960500Z,1
272.375,2019-05-21T08:08:14.363500Z,1
273.25,2019-05-21T08:08:20.110000Z,1
273.25,2019-05-21T08:08:21.075000Z,1
274.125,2019-05-21T08:08:40.160500Z,1
278.5,2019-05-21T08:08:41.902000Z,1
275.0,2019-05-21T08:08:42.640000Z,1
275.0,2019-05-21T08:08:43.172000Z,1
274.125,2019-05-21T08:08:43.590500Z,1
275.0,2019-05-21T08:08:44.509000Z,1
274.125,2019-05-21T08:08:44.887500Z,1
275.0,2019-05-21T08:08:45.393000Z,1
264.5,2019-05-21T08:08:45.943000Z,1
275.0,2019-05-21T08:08:46.458000Z,1
274.125,2019-05-21T08:08:47.217500Z,1
275.0,2019-05-21T08:08:53.004000Z,1
275.0,2019-05-21T08:08:53.996000Z,1
275.875,2019-05-21T08:09:10.748500Z,1
284.625,2019-05-21T08:09:11.812500Z,1
276.75,2019-05-21T08:09:22.989000Z,1
273.25,2019-05-21T08:09:30.161000Z,1
276.75,2019-05-21T08:09:33.610000Z,1
277.625,2019-05-21T08:09:42.505500Z,1
279.375,2019-05-21T08:09:42.839500Z,1
278.5,2019-05-21T08:09:43.937000Z,1
277.625,2019-05-21T08:09:48.451500Z,1
279.375,2019-05-21T08:10:43.293500Z,1
308.25,2019-05-21T08:11:37.250000Z,1
287.25,2019-05-21T08:12:11.313000Z,1
287.25,2019-05-21T08:12:13.723000Z,1
289.0,2019-05-21T08:12:29.635000Z,1
287.25,2019-05-21T08:12:31.602000Z,1
276.75,2019-05-21T08:12:44.922000Z,1
288.125,2019-05-21T08:12:45.959500Z,1
298.625,2019-05-21T08:12:46.645500Z,1
289.0,2019-05-21T08:12:51.529000Z,1
289.0,2019-05-21T08:12:54.328000Z,1
290.75,2019-05-21T08:12:58.966000Z,1
289.0,2019-05-21T08:13:04.611000Z,1
289.875,2019-05-21T08:13:08.720500Z,1
282.0,2019-05-21T08:13:10.525000Z,1
289.875,2019-05-21T08:13:16.305500Z,1
292.5,2019-05-21T08:13:33.949000Z,1
291.625,2019-05-21T08:13:35.167500Z,1
292.5,2019-05-21T08:13:43.780000Z,1
292.5,2019-05-21T08:13:44.939000Z,1
293.375,2019-05-21T08:13:50.836500Z,1
294.25,2019-05-21T08:13:56.909000Z,1
275.0,2019-05-21T08:13:58.536000Z,1
294.25,2019-05-21T08:13:59.172000Z,1
294.25,2019-05-21T08:14:01.949000Z,1
292.5,2019-05-21T08:14:03.317000Z,1
295.125,2019-05-21T08:14:05.113500Z,1
293.375,2019-05-21T08:14:05.835500Z,1
292.5,2019-05-21T08:14:06.122000Z,1
293.375,2019-05-21T08:14:06.592500Z,1
292.5,2019-05-21T08:14:07.313000Z,1
730.0,2019-05-21T08:14:09.607000Z,1
292.5,2019-05-21T08:14:10.450000Z,1
296.0,2019-05-21T08:14:10.954000Z,1
299.5,2019-05-21T08:14:11.441000Z,1
295.125,2019-05-21T08:14:12.394500Z,1
728.25,2019-05-21T08:14:12.441000Z,1
292.5,2019-05-21T08:14:13.261000Z,1
294.25,2019-05-21T08:14:14.614000Z,1
293.375,2019-05-21T08:14:15.210500Z,1
293.375,2019-05-21T08:14:16.078500Z,1
293.375,2019-05-21T08:14:16.963500Z,1
798.25,2019-05-21T08:14:20.255000Z,1
293.375,2019-05-21T08:14:21.609500Z,1
299.5,2019-05-21T08:14:22.015000Z,1
294.25,2019-05-21T08:14:23.011000Z,1
296.0,2019-05-21T08:14:29.523000Z,1
307.375,2019-05-21T08:14:32.666500Z,1
293.375,2019-05-21T08:14:35.143500Z,1
295.125,2019-05-21T08:14:36.184500Z,1
294.25,2019-05-21T08:14:36.656000Z,1
548.0,2019-05-21T08:14:36.963000Z,1
280.25,2019-05-21T08:14:41.070000Z,1
295.125,2019-05-21T08:14:41.662500Z,1
295.125,2019-05-21T08:14:42.450500Z,1
296.875,2019-05-21T08:14:43.066500Z,1
295.125,2019-05-21T08:14:43.581500Z,1
308.25,2019-05-21T08:14:44.042000Z,1
295.125,2019-05-21T08:14:50.550500Z,1
310.0,2019-05-21T08:14:51.849000Z,1
296.875,2019-05-21T08:14:54.066500Z,1
296.0,2019-05-21T08:14:54.619000Z,1
296.0,2019-05-21T08:14:55.447000Z,1
295.125,2019-05-21T08:14:56.189500Z,1
295.125,2019-05-21T08:14:56.833500Z,1
296.0,2019-05-21T08:14:57.621000Z,1
299.5,2019-05-21T08:14:58.395000Z,1
296.0,2019-05-21T08:14:58.910000Z,1
300.375,2019-05-21T08:14:59.806500Z,1
296.0,2019-05-21T08:15:00.745000Z,1
297.75,2019-05-21T08:15:01.781000Z,1
296.0,2019-05-21T08:15:02.757000Z,1
297.75,2019-05-21T08:15:03.552000Z,1
299.5,2019-05-21T08:15:04.310000Z,1
296.875,2019-05-21T08:15:04.692500Z,1
297.75,2019-05-21T08:15:05.155000Z,1
728.25,2019-05-21T08:15:05.688000Z,1
471.0,2019-05-21T08:15:07.283000Z,1
298.625,2019-05-21T08:15:10.650500Z,1
301.25,2019-05-21T08:15:11.095000Z,1
731.75,2019-05-21T08:15:11.317000Z,1
224.25,2019-05-21T08:15:12.387000Z,1
290.75,2019-05-21T08:15:12.984000Z,1
731.75,2019-05-21T08:15:13.652000Z,1
299.5,2019-05-21T08:16:02.133000Z,1
301.25,2019-05-21T08:16:02.829000Z,1
307.375,2019-05-21T08:16:04.268500Z,1
302.125,2019-05-21T08:16:08.502500Z,1
302.125,2019-05-21T08:16:09.544500Z,1
730.0,2019-05-21T08:16:10.836000Z,1
300.375,2019-05-21T08:16:12.561500Z,1
310.0,2019-05-21T08:16:13.141000Z,1
747.5,2019-05-21T08:16:13.249000Z,1
301.25,2019-05-21T08:16:20.653000Z,1
766.75,2019-05-21T08:17:53.744000Z,1
307.375,2019-05-21T08:17:54.813500Z,1
305.625,2019-05-21T08:17:56.003500Z,1
310.875,2019-05-21T08:17:56.546500Z,1
304.75,2019-05-21T08:17:57.082000Z,1
307.375,2019-05-21T08:17:57.830500Z,1
299.5,2019-05-21T08:17:58.550000Z,1
306.5,2019-05-21T08:17:59.786000Z,1
306.5,2019-05-21T08:18:00.256000Z,1
308.25,2019-05-21T08:18:00.994000Z,1
307.375,2019-05-21T08:18:01.280500Z,1
306.5,2019-05-21T08:18:01.914000Z,1
306.5,2019-05-21T08:18:03.630000Z,1
307.375,2019-05-21T08:18:04.184500Z,1
309.125,2019-05-21T08:18:05.040500Z,1
308.25,2019-05-21T08:18:05.850000Z,1
306.5,2019-05-21T08:18:07.206000Z,1
307.375,2019-05-21T08:18:07.965500Z,1
252.25,2019-05-21T08:18:08.148000Z,1
307.375,2019-05-21T08:18:08.771500Z,1
308.25,2019-05-21T08:18:09.824000Z,1
307.375,2019-05-21T08:18:10.264500Z,1
309.125,2019-05-21T08:18:12.493500Z,1
307.375,2019-05-21T08:18:13.754500Z,1
308.25,2019-05-21T08:18:14.596000Z,1
308.25,2019-05-21T08:18:17.778000Z,1
309.125,2019-05-21T08:18:18.678500Z,1
308.25,2019-05-21T08:18:20.189000Z,1
268.0,2019-05-21T08:18:21.129000Z,1
308.25,2019-05-21T08:18:21.829000Z,1
728.25,2019-05-21T08:18:22.443000Z,1
308.25,2019-05-21T08:18:23.217000Z,1
310.0,2019-05-21T08:18:24.650000Z,1
308.25,2019-05-21T08:18:25.442000Z,1
307.375,2019-05-21T08:18:26.449500Z,1
308.25,2019-05-21T08:18:27.332000Z,1
